City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed
197,Salinopolis,BR,22-04-26 04:02:38,-0.6136,-47.3561,78.39,78.39,87,98,9.73
198,Marawi,PH,22-04-26 04:02:38,7.9986,124.2928,81.86,81.86,67,86,4.0
199,Cintalapa,MX,22-04-26 04:02:38,16.6951,-93.7272,73.9,73.9,77,35,2.42
200,Castro,BR,22-04-26 04:02:39,-24.7911,-50.0119,57.87,57.87,85,25,1.99
201,Upernavik,GL,22-04-26 04:02:39,72.7868,-56.1549,12.16,12.16,86,76,5.41
202,San Andres,CO,22-04-26 04:02:40,12.5847,-81.7006,81.14,81.14,80,28,14.36
203,Sitka,US,22-04-26 04:02:41,57.0531,-135.33,41.85,41.85,92,100,2.28
204,Vigrestad,NO,22-04-26 04:02:41,58.5667,5.7,44.28,41.81,89,30,15.12
205,Bridgetown,BB,22-04-26 04:02:42,13.1,-59.6167,78.1,78.1,85,100,15.01
206,Linfen,CN,22-04-26 04:02:42,36.0889,111.5189,86.16,86.16,18,18,5.44
207,Palu,ID,22-04-26 04:02:43,-0.8917,119.8707,86.32,86.32,72,56,4.99
208,Simao,CN,22-04-26 04:02:43,22.7886,100.9748,84.67,84.67,23,1,7.36
209,Portland,US,22-04-26 03:58:29,45.5234,-122.6762,53.2,46.78,83,100,1.99
210,Namatanai,PG,22-04-26 04:02:44,-3.6667,152.4333,85.28,85.28,64,93,7.34
211,Poronaysk,RU,22-04-26 03:53:17,49.2167,143.1167,31.41,31.41,90,100,8.75
212,Asau,RO,22-04-26 04:02:45,46.4333,26.4,45.52,45.52,92,5,5.59
213,Yumen,CN,22-04-26 04:02:45,40.2833,97.2,59.97,59.97,11,99,19.33
214,Olinda,BR,22-04-26 04:02:46,-8.0089,-34.8553,80.33,80.33,74,40,10.36
215,Labelle,US,22-04-26 04:02:46,26.7617,-81.4384,75.97,71.04,77,0,7.45
216,Caravelas,BR,22-04-26 04:02:47,-17.7125,-39.2481,75.18,75.18,85,0,4.54
